date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:28:05	123707/123707	---M-Z	200	added ('OK')	text/html	date:Thu,%2018%20Apr%202024%2006:04:10%20GMT	https://owlio.dexignzone.com/laravel/demo/index	F:/new_web/jitendra_project/owlio.dexignzone.com/laravel/demo/index.html	(from https://owlio.dexignzone.com/laravel/demo/student)
11:28:06	276/276	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2018%20Apr%202024%2006:04:12%20GMT	https://owlio.dexignzone.com/laravel/demo/images/avatar/1.jpg	F:/new_web/jitendra_project/owlio.dexignzone.com/laravel/demo/images/avatar/1.b.delayed	(from https://owlio.dexignzone.com/laravel/demo/student)
11:28:07	6403/6403	---M--	200	added ('OK')	image/jpeg	etag:%221903-5bf986612de00%22	https://owlio.dexignzone.com/laravel/demo/public/images/avatar/1.jpg	F:/new_web/jitendra_project/owlio.dexignzone.com/laravel/demo/public/images/avatar/1.jpg	(from https://owlio.dexignzone.com/laravel/demo/student)
11:28:08	276/276	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2018%20Apr%202024%2006:04:13%20GMT	https://owlio.dexignzone.com/laravel/demo/images/avatar/2.jpg	F:/new_web/jitendra_project/owlio.dexignzone.com/laravel/demo/images/avatar/2.jpg	(from https://owlio.dexignzone.com/laravel/demo/student)
11:28:08	9604/9604	---M--	200	added ('OK')	image/jpeg	etag:%222584-5bf986612de00%22	https://owlio.dexignzone.com/laravel/demo/public/images/avatar/2.jpg	F:/new_web/jitendra_project/owlio.dexignzone.com/laravel/demo/public/images/avatar/2.jpg	(from https://owlio.dexignzone.com/laravel/demo/student)
11:28:09	276/276	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2018%20Apr%202024%2006:04:15%20GMT	https://owlio.dexignzone.com/laravel/demo/images/avatar/3.jpg	F:/new_web/jitendra_project/owlio.dexignzone.com/laravel/demo/images/avatar/3.jpg	(from https://owlio.dexignzone.com/laravel/demo/student)
11:28:10	9059/9059	---M--	200	added ('OK')	image/jpeg	etag:%222363-5bf9865f45980%22	https://owlio.dexignzone.com/laravel/demo/public/images/avatar/3.jpg	F:/new_web/jitendra_project/owlio.dexignzone.com/laravel/demo/public/images/avatar/3.jpg	(from https://owlio.dexignzone.com/laravel/demo/student)
11:28:11	276/276	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2018%20Apr%202024%2006:04:17%20GMT	https://owlio.dexignzone.com/laravel/demo/images/avatar/4.jpg	F:/new_web/jitendra_project/owlio.dexignzone.com/laravel/demo/images/avatar/4.jpg	(from https://owlio.dexignzone.com/laravel/demo/student)
11:28:12	7968/7968	---M--	200	added ('OK')	image/jpeg	etag:%221f20-5bf9865f45980%22	https://owlio.dexignzone.com/laravel/demo/public/images/avatar/4.jpg	F:/new_web/jitendra_project/owlio.dexignzone.com/laravel/demo/public/images/avatar/4.jpg	(from https://owlio.dexignzone.com/laravel/demo/student)
11:28:12	276/276	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2018%20Apr%202024%2006:04:18%20GMT	https://owlio.dexignzone.com/laravel/demo/images/avatar/5.jpg	F:/new_web/jitendra_project/owlio.dexignzone.com/laravel/demo/images/avatar/5.jpg	(from https://owlio.dexignzone.com/laravel/demo/student)
11:28:13	10392/10392	---M--	200	added ('OK')	image/jpeg	etag:%222898-5bf9865f45980%22	https://owlio.dexignzone.com/laravel/demo/public/images/avatar/5.jpg	F:/new_web/jitendra_project/owlio.dexignzone.com/laravel/demo/public/images/avatar/5.jpg	(from https://owlio.dexignzone.com/laravel/demo/student)
11:28:14	280/280	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2018%20Apr%202024%2006:04:20%20GMT	https://owlio.dexignzone.com/laravel/demo/images/profile/pic1.jpg	F:/new_web/jitendra_project/owlio.dexignzone.com/laravel/demo/images/profile/pic1.jpg	(from https://owlio.dexignzone.com/laravel/demo/student)
11:28:15	3050/3050	---M--	200	added ('OK')	image/jpeg	etag:%22bea-5bf988f8efc00%22	https://owlio.dexignzone.com/laravel/demo/public/images/profile/pic1.jpg	F:/new_web/jitendra_project/owlio.dexignzone.com/laravel/demo/public/images/profile/pic1.jpg	(from https://owlio.dexignzone.com/laravel/demo/student)
11:28:17	106263/106263	---M-Z	200	added ('OK')	text/html	date:Thu,%2018%20Apr%202024%2006:04:21%20GMT	https://owlio.dexignzone.com/laravel/demo/app-profile	F:/new_web/jitendra_project/owlio.dexignzone.com/laravel/demo/app-profile.html	(from https://owlio.dexignzone.com/laravel/demo/student)
11:28:18	770239/770239	---M--	200	added ('OK')	text/css	etag:%22bc0bf-5fd9e3fe22a80%22	https://owlio.dexignzone.com/laravel/demo/public/css/style.css	F:/new_web/jitendra_project/owlio.dexignzone.com/laravel/demo/public/css/style.css	(from https://owlio.dexignzone.com/laravel/demo/student)
11:28:18	105574/105574	---M-Z	200	added ('OK')	text/html	date:Thu,%2018%20Apr%202024%2006:04:22%20GMT	https://owlio.dexignzone.com/laravel/demo/email-inbox	F:/new_web/jitendra_project/owlio.dexignzone.com/laravel/demo/email-inbox.html	(from https://owlio.dexignzone.com/laravel/demo/student)
11:28:18	4836/4836	---M-Z	200	added ('OK')	text/html	date:Thu,%2018%20Apr%202024%2006:04:24%20GMT	https://owlio.dexignzone.com/laravel/demo/page-login	F:/new_web/jitendra_project/owlio.dexignzone.com/laravel/demo/page-login.html	(from https://owlio.dexignzone.com/laravel/demo/student)
11:28:19	123898/123898	---M-Z	200	added ('OK')	text/html	date:Thu,%2018%20Apr%202024%2006:04:25%20GMT	https://owlio.dexignzone.com/laravel/demo/index-2	F:/new_web/jitendra_project/owlio.dexignzone.com/laravel/demo/index-2.html	(from https://owlio.dexignzone.com/laravel/demo/student)
11:28:20	100415/100415	---M-Z	200	added ('OK')	text/html	date:Thu,%2018%20Apr%202024%2006:04:25%20GMT	https://owlio.dexignzone.com/laravel/demo/teachers	F:/new_web/jitendra_project/owlio.dexignzone.com/laravel/demo/teachers.html	(from https://owlio.dexignzone.com/laravel/demo/student)
11:28:20	97921/97921	---M-Z	200	added ('OK')	text/html	date:Thu,%2018%20Apr%202024%2006:04:26%20GMT	https://owlio.dexignzone.com/laravel/demo/events	F:/new_web/jitendra_project/owlio.dexignzone.com/laravel/demo/events.html	(from https://owlio.dexignzone.com/laravel/demo/student)
11:28:21	124754/124754	---M-Z	200	added ('OK')	text/html	date:Thu,%2018%20Apr%202024%2006:04:27%20GMT	https://owlio.dexignzone.com/laravel/demo/finance	F:/new_web/jitendra_project/owlio.dexignzone.com/laravel/demo/finance.html	(from https://owlio.dexignzone.com/laravel/demo/student)
11:28:21	118032/118032	---M-Z	200	added ('OK')	text/html	date:Thu,%2018%20Apr%202024%2006:04:27%20GMT	https://owlio.dexignzone.com/laravel/demo/food	F:/new_web/jitendra_project/owlio.dexignzone.com/laravel/demo/food.html	(from https://owlio.dexignzone.com/laravel/demo/student)
11:28:22	95506/95506	---M-Z	200	added ('OK')	text/html	date:Thu,%2018%20Apr%202024%2006:04:28%20GMT	https://owlio.dexignzone.com/laravel/demo/post-details	F:/new_web/jitendra_project/owlio.dexignzone.com/laravel/demo/post-details.html	(from https://owlio.dexignzone.com/laravel/demo/student)
11:28:23	85217/85217	---M-Z	200	added ('OK')	text/html	date:Thu,%2018%20Apr%202024%2006:04:28%20GMT	https://owlio.dexignzone.com/laravel/demo/email-compose	F:/new_web/jitendra_project/owlio.dexignzone.com/laravel/demo/email-compose.html	(from https://owlio.dexignzone.com/laravel/demo/student)
11:28:23	88665/88665	---M-Z	200	added ('OK')	text/html	date:Thu,%2018%20Apr%202024%2006:04:29%20GMT	https://owlio.dexignzone.com/laravel/demo/email-read	F:/new_web/jitendra_project/owlio.dexignzone.com/laravel/demo/email-read.html	(from https://owlio.dexignzone.com/laravel/demo/student)
11:28:24	85813/85813	---M-Z	200	added ('OK')	text/html	date:Thu,%2018%20Apr%202024%2006:04:30%20GMT	https://owlio.dexignzone.com/laravel/demo/app-calender	F:/new_web/jitendra_project/owlio.dexignzone.com/laravel/demo/app-calender.html	(from https://owlio.dexignzone.com/laravel/demo/student)
11:28:25	90367/90367	---M-Z	200	added ('OK')	text/html	date:Thu,%2018%20Apr%202024%2006:04:30%20GMT	https://owlio.dexignzone.com/laravel/demo/ecom-product-grid	F:/new_web/jitendra_project/owlio.dexignzone.com/laravel/demo/ecom-product-grid.html	(from https://owlio.dexignzone.com/laravel/demo/student)
11:28:25	92631/92631	---M-Z	200	added ('OK')	text/html	date:Thu,%2018%20Apr%202024%2006:04:31%20GMT	https://owlio.dexignzone.com/laravel/demo/ecom-product-list	F:/new_web/jitendra_project/owlio.dexignzone.com/laravel/demo/ecom-product-list.html	(from https://owlio.dexignzone.com/laravel/demo/student)
11:28:26	88703/88703	---M-Z	200	added ('OK')	text/html	date:Thu,%2018%20Apr%202024%2006:04:32%20GMT	https://owlio.dexignzone.com/laravel/demo/ecom-product-detail	F:/new_web/jitendra_project/owlio.dexignzone.com/laravel/demo/ecom-product-detail.html	(from https://owlio.dexignzone.com/laravel/demo/student)
11:28:27	108832/108832	---M-Z	200	added ('OK')	text/html	date:Thu,%2018%20Apr%202024%2006:04:32%20GMT	https://owlio.dexignzone.com/laravel/demo/ecom-product-order	F:/new_web/jitendra_project/owlio.dexignzone.com/laravel/demo/ecom-product-order.html	(from https://owlio.dexignzone.com/laravel/demo/student)
11:28:27	89747/89747	---M-Z	200	added ('OK')	text/html	date:Thu,%2018%20Apr%202024%2006:04:33%20GMT	https://owlio.dexignzone.com/laravel/demo/ecom-checkout	F:/new_web/jitendra_project/owlio.dexignzone.com/laravel/demo/ecom-checkout.html	(from https://owlio.dexignzone.com/laravel/demo/student)
11:28:28	85508/85508	---M-Z	200	added ('OK')	text/html	date:Thu,%2018%20Apr%202024%2006:04:34%20GMT	https://owlio.dexignzone.com/laravel/demo/ecom-invoice	F:/new_web/jitendra_project/owlio.dexignzone.com/laravel/demo/ecom-invoice.html	(from https://owlio.dexignzone.com/laravel/demo/student)
11:28:29	114911/114911	---M-Z	200	added ('OK')	text/html	date:Thu,%2018%20Apr%202024%2006:04:34%20GMT	https://owlio.dexignzone.com/laravel/demo/ecom-customers	F:/new_web/jitendra_project/owlio.dexignzone.com/laravel/demo/ecom-customers.html	(from https://owlio.dexignzone.com/laravel/demo/student)
11:28:30	84618/84618	---M-Z	200	added ('OK')	text/html	date:Thu,%2018%20Apr%202024%2006:04:35%20GMT	https://owlio.dexignzone.com/laravel/demo/chart-flot	F:/new_web/jitendra_project/owlio.dexignzone.com/laravel/demo/chart-flot.html	(from https://owlio.dexignzone.com/laravel/demo/student)
11:28:30	82410/82410	---M-Z	200	added ('OK')	text/html	date:Thu,%2018%20Apr%202024%2006:04:36%20GMT	https://owlio.dexignzone.com/laravel/demo/chart-morris	F:/new_web/jitendra_project/owlio.dexignzone.com/laravel/demo/chart-morris.html	(from https://owlio.dexignzone.com/laravel/demo/student)
11:28:33	85712/85712	---M-Z	200	added ('OK')	text/html	date:Thu,%2018%20Apr%202024%2006:04:37%20GMT	https://owlio.dexignzone.com/laravel/demo/chart-chartjs	F:/new_web/jitendra_project/owlio.dexignzone.com/laravel/demo/chart-chartjs.html	(from https://owlio.dexignzone.com/laravel/demo/student)
11:28:34	89155/89155	---M-Z	200	added ('OK')	text/html	date:Thu,%2018%20Apr%202024%2006:04:40%20GMT	https://owlio.dexignzone.com/laravel/demo/chart-chartist	F:/new_web/jitendra_project/owlio.dexignzone.com/laravel/demo/chart-chartist.html	(from https://owlio.dexignzone.com/laravel/demo/student)
11:28:46	85502/85502	---M-Z	200	added ('OK')	text/html	date:Thu,%2018%20Apr%202024%2006:04:40%20GMT	https://owlio.dexignzone.com/laravel/demo/chart-sparkline	F:/new_web/jitendra_project/owlio.dexignzone.com/laravel/demo/chart-sparkline.html	(from https://owlio.dexignzone.com/laravel/demo/student)
11:28:48	89777/89777	---M-Z	200	added ('OK')	text/html	date:Thu,%2018%20Apr%202024%2006:04:53%20GMT	https://owlio.dexignzone.com/laravel/demo/chart-peity	F:/new_web/jitendra_project/owlio.dexignzone.com/laravel/demo/chart-peity.html	(from https://owlio.dexignzone.com/laravel/demo/student)
11:28:50	128435/128435	---M-Z	200	added ('OK')	text/html	date:Thu,%2018%20Apr%202024%2006:04:55%20GMT	https://owlio.dexignzone.com/laravel/demo/ui-accordion	F:/new_web/jitendra_project/owlio.dexignzone.com/laravel/demo/ui-accordion.html	(from https://owlio.dexignzone.com/laravel/demo/student)
11:28:54	155581/155581	---M-Z	200	added ('OK')	text/html	date:Thu,%2018%20Apr%202024%2006:04:56%20GMT	https://owlio.dexignzone.com/laravel/demo/ui-alert	F:/new_web/jitendra_project/owlio.dexignzone.com/laravel/demo/ui-alert.html	(from https://owlio.dexignzone.com/laravel/demo/student)
11:28:55	92709/92709	---M-Z	200	added ('OK')	text/html	date:Thu,%2018%20Apr%202024%2006:04:57%20GMT	https://owlio.dexignzone.com/laravel/demo/ui-badge	F:/new_web/jitendra_project/owlio.dexignzone.com/laravel/demo/ui-badge.html	(from https://owlio.dexignzone.com/laravel/demo/student)
11:28:57	101758/101758	---M-Z	200	added ('OK')	text/html	date:Thu,%2018%20Apr%202024%2006:05:02%20GMT	https://owlio.dexignzone.com/laravel/demo/ui-button	F:/new_web/jitendra_project/owlio.dexignzone.com/laravel/demo/ui-button.html	(from https://owlio.dexignzone.com/laravel/demo/student)
11:29:00	93816/93816	---M-Z	200	added ('OK')	text/html	date:Thu,%2018%20Apr%202024%2006:05:05%20GMT	https://owlio.dexignzone.com/laravel/demo/ui-modal	F:/new_web/jitendra_project/owlio.dexignzone.com/laravel/demo/ui-modal.html	(from https://owlio.dexignzone.com/laravel/demo/student)
11:29:03	87463/87463	---M-Z	200	added ('OK')	text/html	date:Thu,%2018%20Apr%202024%2006:05:06%20GMT	https://owlio.dexignzone.com/laravel/demo/ui-button-group	F:/new_web/jitendra_project/owlio.dexignzone.com/laravel/demo/ui-button-group.html	(from https://owlio.dexignzone.com/laravel/demo/student)
11:29:10	92286/92286	---M-Z	200	added ('OK')	text/html	date:Thu,%2018%20Apr%202024%2006:05:11%20GMT	https://owlio.dexignzone.com/laravel/demo/ui-list-group	F:/new_web/jitendra_project/owlio.dexignzone.com/laravel/demo/ui-list-group.html	(from https://owlio.dexignzone.com/laravel/demo/student)
11:29:12	90130/90130	---M-Z	200	added ('OK')	text/html	date:Thu,%2018%20Apr%202024%2006:05:18%20GMT	https://owlio.dexignzone.com/laravel/demo/ui-media-object	F:/new_web/jitendra_project/owlio.dexignzone.com/laravel/demo/ui-media-object.html	(from https://owlio.dexignzone.com/laravel/demo/student)
11:29:15	90307/90307	---M-Z	200	added ('OK')	text/html	date:Thu,%2018%20Apr%202024%2006:05:20%20GMT	https://owlio.dexignzone.com/laravel/demo/ui-card	F:/new_web/jitendra_project/owlio.dexignzone.com/laravel/demo/ui-card.html	(from https://owlio.dexignzone.com/laravel/demo/student)
11:29:16	89057/89057	---M-Z	200	added ('OK')	text/html	date:Thu,%2018%20Apr%202024%2006:05:21%20GMT	https://owlio.dexignzone.com/laravel/demo/ui-carousel	F:/new_web/jitendra_project/owlio.dexignzone.com/laravel/demo/ui-carousel.html	(from https://owlio.dexignzone.com/laravel/demo/student)
11:29:16	102509/102509	---M-Z	200	added ('OK')	text/html	date:Thu,%2018%20Apr%202024%2006:05:22%20GMT	https://owlio.dexignzone.com/laravel/demo/ui-dropdown	F:/new_web/jitendra_project/owlio.dexignzone.com/laravel/demo/ui-dropdown.html	(from https://owlio.dexignzone.com/laravel/demo/student)
11:29:17	83855/83855	---M-Z	200	added ('OK')	text/html	date:Thu,%2018%20Apr%202024%2006:05:23%20GMT	https://owlio.dexignzone.com/laravel/demo/ui-popover	F:/new_web/jitendra_project/owlio.dexignzone.com/laravel/demo/ui-popover.html	(from https://owlio.dexignzone.com/laravel/demo/student)
11:29:18	92930/92930	---M-Z	200	added ('OK')	text/html	date:Thu,%2018%20Apr%202024%2006:05:23%20GMT	https://owlio.dexignzone.com/laravel/demo/ui-progressbar	F:/new_web/jitendra_project/owlio.dexignzone.com/laravel/demo/ui-progressbar.html	(from https://owlio.dexignzone.com/laravel/demo/student)
11:29:19	99732/99732	---M-Z	200	added ('OK')	text/html	date:Thu,%2018%20Apr%202024%2006:05:25%20GMT	https://owlio.dexignzone.com/laravel/demo/ui-tab	F:/new_web/jitendra_project/owlio.dexignzone.com/laravel/demo/ui-tab.html	(from https://owlio.dexignzone.com/laravel/demo/student)
11:29:20	88802/88802	---M-Z	200	added ('OK')	text/html	date:Thu,%2018%20Apr%202024%2006:05:25%20GMT	https://owlio.dexignzone.com/laravel/demo/ui-typography	F:/new_web/jitendra_project/owlio.dexignzone.com/laravel/demo/ui-typography.html	(from https://owlio.dexignzone.com/laravel/demo/student)
11:29:21	92562/92562	---M-Z	200	added ('OK')	text/html	date:Thu,%2018%20Apr%202024%2006:05:26%20GMT	https://owlio.dexignzone.com/laravel/demo/ui-pagination	F:/new_web/jitendra_project/owlio.dexignzone.com/laravel/demo/ui-pagination.html	(from https://owlio.dexignzone.com/laravel/demo/student)
11:29:21	86708/86708	---M-Z	200	added ('OK')	text/html	date:Thu,%2018%20Apr%202024%2006:05:27%20GMT	https://owlio.dexignzone.com/laravel/demo/ui-grid	F:/new_web/jitendra_project/owlio.dexignzone.com/laravel/demo/ui-grid.html	(from https://owlio.dexignzone.com/laravel/demo/student)
11:29:22	113763/113763	---M-Z	200	added ('OK')	text/html	date:Thu,%2018%20Apr%202024%2006:05:28%20GMT	https://owlio.dexignzone.com/laravel/demo/uc-select2	F:/new_web/jitendra_project/owlio.dexignzone.com/laravel/demo/uc-select2.html	(from https://owlio.dexignzone.com/laravel/demo/student)
11:29:23	84773/84773	---M-Z	200	added ('OK')	text/html	date:Thu,%2018%20Apr%202024%2006:05:28%20GMT	https://owlio.dexignzone.com/laravel/demo/uc-nestable	F:/new_web/jitendra_project/owlio.dexignzone.com/laravel/demo/uc-nestable.html	(from https://owlio.dexignzone.com/laravel/demo/student)
11:29:23	98683/98683	---M-Z	200	added ('OK')	text/html	date:Thu,%2018%20Apr%202024%2006:05:29%20GMT	https://owlio.dexignzone.com/laravel/demo/uc-noui-slider	F:/new_web/jitendra_project/owlio.dexignzone.com/laravel/demo/uc-noui-slider.html	(from https://owlio.dexignzone.com/laravel/demo/student)
11:29:24	85916/85916	---M-Z	200	added ('OK')	text/html	date:Thu,%2018%20Apr%202024%2006:05:30%20GMT	https://owlio.dexignzone.com/laravel/demo/uc-sweetalert	F:/new_web/jitendra_project/owlio.dexignzone.com/laravel/demo/uc-sweetalert.html	(from https://owlio.dexignzone.com/laravel/demo/student)
11:29:25	82925/82925	---M-Z	200	added ('OK')	text/html	date:Thu,%2018%20Apr%202024%2006:05:31%20GMT	https://owlio.dexignzone.com/laravel/demo/uc-toastr	F:/new_web/jitendra_project/owlio.dexignzone.com/laravel/demo/uc-toastr.html	(from https://owlio.dexignzone.com/laravel/demo/student)
11:29:25	82257/82257	---M-Z	200	added ('OK')	text/html	date:Thu,%2018%20Apr%202024%2006:05:31%20GMT	https://owlio.dexignzone.com/laravel/demo/map-jqvmap	F:/new_web/jitendra_project/owlio.dexignzone.com/laravel/demo/map-jqvmap.html	(from https://owlio.dexignzone.com/laravel/demo/student)
11:29:26	84761/84761	---M-Z	200	added ('OK')	text/html	date:Thu,%2018%20Apr%202024%2006:05:32%20GMT	https://owlio.dexignzone.com/laravel/demo/uc-lightgallery	F:/new_web/jitendra_project/owlio.dexignzone.com/laravel/demo/uc-lightgallery.html	(from https://owlio.dexignzone.com/laravel/demo/student)
11:29:33	118261/118261	---M-Z	200	added ('OK')	text/html	date:Thu,%2018%20Apr%202024%2006:05:33%20GMT	https://owlio.dexignzone.com/laravel/demo/form-element	F:/new_web/jitendra_project/owlio.dexignzone.com/laravel/demo/form-element.html	(from https://owlio.dexignzone.com/laravel/demo/student)
11:29:38	165640/165640	---M-Z	200	added ('OK')	text/html	date:Thu,%2018%20Apr%202024%2006:05:32%20GMT	https://owlio.dexignzone.com/laravel/demo/widget-basic	F:/new_web/jitendra_project/owlio.dexignzone.com/laravel/demo/widget-basic.html	(from https://owlio.dexignzone.com/laravel/demo/student)
11:29:42	91074/91074	---M-Z	200	added ('OK')	text/html	date:Thu,%2018%20Apr%202024%2006:05:41%20GMT	https://owlio.dexignzone.com/laravel/demo/form-wizard	F:/new_web/jitendra_project/owlio.dexignzone.com/laravel/demo/form-wizard.html	(from https://owlio.dexignzone.com/laravel/demo/student)
11:29:53	81463/81463	---M-Z	200	added ('OK')	text/html	date:Thu,%2018%20Apr%202024%2006:05:57%20GMT	https://owlio.dexignzone.com/laravel/demo/form-editor-summernote	F:/new_web/jitendra_project/owlio.dexignzone.com/laravel/demo/form-editor-summernote.html	(from https://owlio.dexignzone.com/laravel/demo/student)
11:29:55	89539/89539	---M-Z	200	added ('OK')	text/html	date:Thu,%2018%20Apr%202024%2006:06:00%20GMT	https://owlio.dexignzone.com/laravel/demo/form-pickers	F:/new_web/jitendra_project/owlio.dexignzone.com/laravel/demo/form-pickers.html	(from https://owlio.dexignzone.com/laravel/demo/student)
11:29:55	90975/90975	---M-Z	200	added ('OK')	text/html	date:Thu,%2018%20Apr%202024%2006:06:01%20GMT	https://owlio.dexignzone.com/laravel/demo/form-validation-jquery	F:/new_web/jitendra_project/owlio.dexignzone.com/laravel/demo/form-validation-jquery.html	(from https://owlio.dexignzone.com/laravel/demo/student)
11:29:56	137135/137135	---M-Z	200	added ('OK')	text/html	date:Thu,%2018%20Apr%202024%2006:06:01%20GMT	https://owlio.dexignzone.com/laravel/demo/table-bootstrap-basic	F:/new_web/jitendra_project/owlio.dexignzone.com/laravel/demo/table-bootstrap-basic.html	(from https://owlio.dexignzone.com/laravel/demo/student)
11:29:56	234834/234834	---M-Z	200	added ('OK')	text/html	date:Thu,%2018%20Apr%202024%2006:06:02%20GMT	https://owlio.dexignzone.com/laravel/demo/table-datatable-basic	F:/new_web/jitendra_project/owlio.dexignzone.com/laravel/demo/table-datatable-basic.html	(from https://owlio.dexignzone.com/laravel/demo/student)
11:29:57	4338/4338	---M-Z	200	added ('OK')	text/html	date:Thu,%2018%20Apr%202024%2006:06:03%20GMT	https://owlio.dexignzone.com/laravel/demo/page-register	F:/new_web/jitendra_project/owlio.dexignzone.com/laravel/demo/page-register.html	(from https://owlio.dexignzone.com/laravel/demo/student)
11:29:57	2822/2822	---M-Z	200	added ('OK')	text/html	date:Thu,%2018%20Apr%202024%2006:06:03%20GMT	https://owlio.dexignzone.com/laravel/demo/page-error-400	F:/new_web/jitendra_project/owlio.dexignzone.com/laravel/demo/page-error-400.html	(from https://owlio.dexignzone.com/laravel/demo/student)
11:29:58	2845/2845	---M-Z	200	added ('OK')	text/html	date:Thu,%2018%20Apr%202024%2006:06:04%20GMT	https://owlio.dexignzone.com/laravel/demo/page-error-403	F:/new_web/jitendra_project/owlio.dexignzone.com/laravel/demo/page-error-403.html	(from https://owlio.dexignzone.com/laravel/demo/student)
11:29:59	2892/2892	---M-Z	200	added ('OK')	text/html	date:Thu,%2018%20Apr%202024%2006:06:04%20GMT	https://owlio.dexignzone.com/laravel/demo/page-error-404	F:/new_web/jitendra_project/owlio.dexignzone.com/laravel/demo/page-error-404.html	(from https://owlio.dexignzone.com/laravel/demo/student)
11:29:59	2850/2850	---M-Z	200	added ('OK')	text/html	date:Thu,%2018%20Apr%202024%2006:06:05%20GMT	https://owlio.dexignzone.com/laravel/demo/page-error-500	F:/new_web/jitendra_project/owlio.dexignzone.com/laravel/demo/page-error-500.html	(from https://owlio.dexignzone.com/laravel/demo/student)
11:30:00	2830/2830	---M-Z	200	added ('OK')	text/html	date:Thu,%2018%20Apr%202024%2006:06:06%20GMT	https://owlio.dexignzone.com/laravel/demo/page-error-503	F:/new_web/jitendra_project/owlio.dexignzone.com/laravel/demo/page-error-503.html	(from https://owlio.dexignzone.com/laravel/demo/student)
11:30:01	3698/3698	---M-Z	200	added ('OK')	text/html	date:Thu,%2018%20Apr%202024%2006:06:06%20GMT	https://owlio.dexignzone.com/laravel/demo/page-lock-screen	F:/new_web/jitendra_project/owlio.dexignzone.com/laravel/demo/page-lock-screen.html	(from https://owlio.dexignzone.com/laravel/demo/student)
